,new_region,date,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,annee,mois
390,Normandie,2014-05-01,8694.0,8618.0,76.0,373.0,95.67184961708053,22.10455764075067,2014,5
16,Auvergne-Rhône-Alpes,2014-05-01,32285.0,31484.0,801.0,2954.0,90.61745648583407,9.658090724441434,2014,5
282,Grand Est,2014-05-01,24647.0,24442.0,205.0,928.0,96.20325668930529,25.338362068965516,2014,5
542,Occitanie,2014-05-01,12924.0,12492.0,432.0,825.0,93.39577329490874,14.141818181818183,2014,5
608,Pays de la Loire,2014-05-01,10442.0,10315.0,127.0,519.0,94.9684924866699,18.8747591522158,2014,5
76,Bourgogne-Franche-Comté,2014-05-01,13014.0,12893.0,121.0,1128.0,91.25106647017762,10.429964539007091,2014,5
450,Nouvelle Aquitaine,2014-05-01,15538.0,15348.0,190.0,1158.0,92.45504300234558,12.253886010362693,2014,5
330,Hauts-de-France,2014-05-01,28834.0,28591.0,243.0,1713.0,94.00860410618726,15.690601284296555,2014,5
137,Bretagne,2014-06-01,7470.0,7253.0,217.0,387.0,94.66427685095823,17.74160206718346,2014,6
77,Bourgogne-Franche-Comté,2014-06-01,10367.0,9936.0,431.0,1129.0,88.63727858293076,7.800708591674048,2014,6
728,Provence-Alpes-Côte d'Azur,2014-06-01,9834.0,9430.0,404.0,1630.0,82.71474019088016,4.785276073619632,2014,6
331,Hauts-de-France,2014-06-01,7840.0,7719.0,121.0,780.0,89.89506412747765,8.896153846153846,2014,6
283,Grand Est,2014-06-01,20833.0,19544.0,1289.0,991.0,94.92939009414654,18.721493440968718,2014,6
609,Pays de la Loire,2014-06-01,7734.0,7525.0,209.0,554.0,92.63787375415282,12.583032490974729,2014,6
17,Auvergne-Rhône-Alpes,2014-06-01,24527.0,21939.0,2588.0,3012.0,86.27102420347326,6.28386454183267,2014,6
391,Normandie,2014-06-01,6735.0,6265.0,470.0,395.0,93.6951316839585,14.860759493670885,2014,6
543,Occitanie,2014-06-01,9981.0,9182.0,799.0,970.0,89.43585275539098,8.465979381443299,2014,6
451,Nouvelle Aquitaine,2014-06-01,12341.0,11161.0,1180.0,1108.0,90.07257414210196,9.073104693140793,2014,6
610,Pays de la Loire,2014-07-01,10970.0,10754.0,216.0,816.0,92.41212572066208,12.178921568627452,2014,7
544,Occitanie,2014-07-01,14092.0,13694.0,398.0,1442.0,89.4698408061925,8.496532593619973,2014,7
284,Grand Est,2014-07-01,22419.0,22116.0,303.0,836.0,96.21993127147766,25.454545454545453,2014,7
452,Nouvelle Aquitaine,2014-07-01,16356.0,15965.0,391.0,1939.0,87.85468211713122,7.2336255801959775,2014,7
729,Provence-Alpes-Côte d'Azur,2014-07-01,14923.0,14388.0,535.0,2373.0,83.5070892410342,5.063211125158028,2014,7
138,Bretagne,2014-07-01,7520.0,7485.0,35.0,298.0,96.0187040748163,24.11744966442953,2014,7
78,Bourgogne-Franche-Comté,2014-07-01,12860.0,12737.0,123.0,1041.0,91.82696082279972,11.235350624399615,2014,7
392,Normandie,2014-07-01,9725.0,9592.0,133.0,518.0,94.59966638865721,17.517374517374517,2014,7
332,Hauts-de-France,2014-07-01,27839.0,27192.0,647.0,2268.0,91.65931156222419,10.989417989417989,2014,7
18,Auvergne-Rhône-Alpes,2014-07-01,31269.0,30886.0,383.0,3347.0,89.16337499190571,8.2279653420974,2014,7
545,Occitanie,2014-08-01,13432.0,13101.0,331.0,1235.0,90.57323868406992,9.608097165991904,2014,8
285,Grand Est,2014-08-01,21366.0,21166.0,200.0,607.0,97.13219313994142,33.869851729818784,2014,8
19,Auvergne-Rhône-Alpes,2014-08-01,29488.0,29090.0,398.0,2070.0,92.88415262976969,13.053140096618357,2014,8
453,Nouvelle Aquitaine,2014-08-01,15956.0,15735.0,221.0,1434.0,90.88655862726407,9.972803347280335,2014,8
139,Bretagne,2014-08-01,7406.0,7372.0,34.0,307.0,95.83559413998915,23.01302931596091,2014,8
611,Pays de la Loire,2014-08-01,10808.0,10698.0,110.0,549.0,94.8681996634885,18.48633879781421,2014,8
79,Bourgogne-Franche-Comté,2014-08-01,12201.0,12097.0,104.0,743.0,93.85798131768207,15.28129205921938,2014,8
393,Normandie,2014-08-01,9443.0,9370.0,73.0,438.0,95.32550693703308,20.39269406392694,2014,8
333,Hauts-de-France,2014-08-01,26453.0,26043.0,410.0,1451.0,94.4284452636025,16.948311509303927,2014,8
730,Provence-Alpes-Côte d'Azur,2014-08-01,14404.0,13842.0,562.0,2228.0,83.90406010692097,5.212746858168761,2014,8
546,Occitanie,2014-09-01,13424.0,13114.0,310.0,1361.0,89.6217782522495,8.635562086700956,2014,9
612,Pays de la Loire,2014-09-01,11013.0,10822.0,191.0,695.0,93.57789687673258,14.571223021582734,2014,9
140,Bretagne,2014-09-01,7982.0,7929.0,53.0,345.0,95.64888384411654,21.982608695652175,2014,9
334,Hauts-de-France,2014-09-01,30023.0,29410.0,613.0,2476.0,91.58109486569194,10.878029079159935,2014,9
20,Auvergne-Rhône-Alpes,2014-09-01,33928.0,33551.0,377.0,3207.0,90.44141754344133,9.461802307452448,2014,9
80,Bourgogne-Franche-Comté,2014-09-01,13658.0,13608.0,50.0,1132.0,91.68136390358613,11.021201413427562,2014,9
