,User,Tweet,timeTweet,source,retweet
190,mccricricri,@Infrapower19_95 @SNCFReseau @SNCF @SNCF_Recrute @RERC_SNCF euh ......... vous pouvez pas envoyer votre équipe à la gare St Michel Notre Dame pour qu'elle finisse les travaux commencés en août et qui devaient se terminer lundi 19 décembre ???????????????????????,2022-12-16 10:06:28+00:00,Twitter Web App,0
191,supply_africa,"Facture électrique multipliée par 8,5 : le fret ferroviaire au bord du gouffre.

@SNCF #FretFerroviaire #TransitionEnergétique #TransportMarchandises #FacturesElectricités #ExplosionPrix #Logistique #SupplyChain 

https://t.co/1tR7uQXOjA",2022-12-16 10:06:26+00:00,Twitter Web App,0
192,jeunecingle,"@SNCFsebastien @TGVINOUI @garesaintjean @SNCF @CdBIsaac Hahaha l’hypocrisie, non arrêtez mdrr vous êtes là pour mettre les amendes et strictement rien d’autre hein, c’est la suge la sécurité
Vous vous êtes là juste pour allumer genre une petite étudiante en pleurs pour une histoire de date sur le billet comme j’ai vu la dernière fois",2022-12-16 10:05:56+00:00,Twitter for iPhone,1
193,lilsaikoo,@SNCF @GroupeSNCF Merci 🙏,2022-12-16 10:02:23+00:00,Twitter for iPhone,0
194,TGVTOURSPARIS,RT @GuillaumeVelo: 15 jours que j'attends que @SNCF me rembourse mes billets pour mon aller retour Toulouse Tours puisque le premier train…,2022-12-16 10:00:27+00:00,Twitter for Android,5
195,JohanDrillard,"Hello @SNCF , est ce que le train TGV 5284 d'aujourd'hui est toujours maintenu aux horaires annoncées ? merci!",2022-12-16 09:56:37+00:00,Twitter Web App,0
196,crazy__pilot,"@SNCF le train annulé la veille pour le lendemain... On fait comment pour rejoindre la gare?
Et je ne parle même pas du robot...

On va vous faire aimer voyager en train... Même Ryanair est mieux !!! https://t.co/FnuD4XjfEV",2022-12-16 09:55:47+00:00,Twitter for Android,0
197,Benenuts31,@SNCF Chaque année ils te pondent une grève à Noël pour pas bosser.,2022-12-16 09:51:29+00:00,Twitter for Android,0
198,arsene_lepain,"@radebib @SNCF Sobriété énergétique, on vous dit ! Mais non, je déconne, le cheminot qui devait mettre le chauffage dans le train était en grève. Ou alors, il n' y avait plus de charbon. Ce sont des choses qui arrivent.",2022-12-16 09:49:44+00:00,Twitter Web App,0
199,MichelFred14,"RT @nicojacquard: Il y a dix jours, suppression de train pour cause de grève. Hier, @SNCF @TGVINOUI @TGV_Lyria m'annonce sans autre forme d…",2022-12-16 09:48:55+00:00,Twitter for Android,1
200,gpennequin,RT @jeannebarontv: 3h30 plus tard … Coincée dans le #TGV La Rochelle-Paris qui a heurté un sanglier. Train très abîmé et impossibilité de r…,2022-12-16 09:46:51+00:00,Twitter for iPhone,30
201,BenoitPetersen,"@GroupeSNCF @SNCF @TGVINOUI pourquoi vous supprimez des trains dans la seule semaine où JUSTEMENT y’a besoin de bcp + de trains pr transporter tlm ??
Par exemple le Lille paris de 6h42 il est où ? Et les paris-lille de 16h46, 17h46, 19h16, 19h46, 21h25 etc…..
Vs êtes pas gentils",2022-12-16 09:46:04+00:00,Twitter for iPhone,0
202,Kathleen__Lgrd,"Payer un TGV et se retrouver finalement debout car la gestion est de la merde.

@SNCF 
@SNCB",2022-12-16 09:37:21+00:00,Twitter for iPhone,0
203,Parisienne_12e,@SNCF Merci pour votre réponse. Par contre étonnant de n'avoir eu aucun courriel depuis l'achat de mon billet en octobre et que sur l'appli mon billet est toujours départ gare de lyon,2022-12-16 09:36:28+00:00,Twitter Web App,0
204,ClosierCyrille,@SNCF vous avez de l'humour c'est bien https://t.co/XIJ1DYDSzj,2022-12-16 09:35:54+00:00,Twitter for Android,0
205,rogierelshout,The best argument for #openaccess + strict EU regulation for passenger rights is a 5 minute conversation with @sncf,2022-12-16 09:35:40+00:00,Twitter Web App,0
206,LeCorreMarine1,A quand le concurrent de la @SNCF ?! Marre des trains annulés la veille,2022-12-16 09:34:28+00:00,Twitter for iPhone,0
207,rogierelshout,The best argument for #openaccess + strict EU regulation for passenger rights is a 5 minute conversation with @sncf helpdesk.,2022-12-16 09:30:16+00:00,Twitter Web App,0
208,nicojacquard,"Il y a dix jours, suppression de train pour cause de grève. Hier, @SNCF @TGVINOUI @TGV_Lyria m'annonce sans autre forme de procès la suppression de mon train du 26/12 faute de matériel. Aujourd'hui c'est @OUIGO qui a déjà 30' de retard. Le rail français, histoire d'une décadence.",2022-12-16 09:25:32+00:00,Twitter for Android,1
209,MaximoMomaxi,@gus_transports @AntoineBarrie @ferroviphile_75 @regiongrandest @strasbourg @GroupeSNCF @fluograndest @SNCF @SNCFVoyageurs @Alsace @EmmanuelMacron Sur les horaires y'a écrit 12 (théorique) ensuite y'a la pratique avec incidents et perturbations en tout genre. 🤷🏾‍♂️ca reste la ligne la moins ponctuelle du réseau.,2022-12-16 09:25:31+00:00,Twitter Web App,0
210,gus_transports,"@MaximoMomaxi @AntoineBarrie @ferroviphile_75 @regiongrandest @strasbourg @GroupeSNCF @fluograndest @SNCF @SNCFVoyageurs @Alsace @EmmanuelMacron bah la dernière fois que j’y suis allé en hdp, j’ai attendu 17 min 🤷‍♂️

mais vous avez sûrement raison",2022-12-16 09:24:06+00:00,Twitter for iPhone,0
211,YannickL,@SNCF Arrêté en pleine voie aucune explication c’est plus possible @SNCF informez vos voyageurs,2022-12-16 09:19:52+00:00,Twitter for iPhone,0
212,Dordy_Harding,@idkbutsam @SNCF @LIGNEL_sncf si,2022-12-16 09:18:15+00:00,Twitter for iPhone,0
213,idkbutsam,@Dordy_Harding @SNCF @LIGNEL_sncf Nonnnn,2022-12-16 09:17:46+00:00,Twitter for iPhone,0
214,tc_montagne,RT @Infrapower19_95: Réparations et finition de la Voie 3 de Pereire afin de la rendre à la circulation pour le RER C. Bien que mal engagée…,2022-12-16 09:17:38+00:00,Twitter for Android,4
215,MaximoMomaxi,@gus_transports @AntoineBarrie @ferroviphile_75 @regiongrandest @strasbourg @GroupeSNCF @fluograndest @SNCF @SNCFVoyageurs @Alsace @EmmanuelMacron Non la D on est sur 5min : 12 trains/h en heure de pointe.,2022-12-16 09:15:35+00:00,Twitter Web App,0
216,jjwillb,"@SNCFConnect Des fautes grossières de traduction/style. 1 ligne qui indique trips, l’autre travels. C vraiment du n’importe quoi. Tout le site est comme ça. GRAVE car la @SNCF est 1 entreprise de 1er plan! Quel amateurisme! @CBeaune https://t.co/jxRHgst6IW",2022-12-16 09:13:55+00:00,Twitter Web App,0
217,Dordy_Harding,@idkbutsam @SNCF @LIGNEL_sncf tu vas te calmer je te le dis,2022-12-16 09:10:31+00:00,Twitter for iPhone,0
218,Tram11Express,"@CEGphirot @SNCF @RERC_SNCF Bonjour, pourriez-vous nous préciser votre réclamation en MP svp ?",2022-12-16 09:10:10+00:00,Twitter for iPhone,0
